距離(自),距離(至),緯度(自),経度(自),緯度(至),経度(至)
164936.222,164946.222,39.7795952316564,255.024978981439,39.7795999128258,255.025079319016
164946.222,164956.222,39.7795999128258,255.025079319016,39.7796054174875,255.025195457177
164956.222,164966.222,39.7796054174875,255.025195457177,39.779610803379,255.025312139729
164966.222,164976.222,39.779610803379,255.025312139729,39.7796161891882,255.025429276343
164976.222,164986.222,39.7796161891882,255.025429276343,39.7796216528773,255.025546037548
164986.222,164996.222,39.7796216528773,255.025546037548,39.7796273352174,255.025662107396
164996.222,165006.222,39.7796273352174,255.025662107396,39.7796333436115,255.025778844422
165006.222,165016.222,39.7796333436115,255.025778844422,39.7796394555041,255.025895475767
165016.222,165026.222,39.7796394555041,255.025895475767,39.7796458501424,255.02601206155
165026.222,165036.222,39.7796458501424,255.02601206155,39.779652279591,255.026128960588
165036.222,165046.222,39.779652279591,255.026128960588,39.7796585766387,255.026245291761
165046.222,165056.222,39.7796585766387,255.026245291761,39.7796646158646,255.026361639835
165056.222,165066.222,39.7796646158646,255.026361639835,39.7796702024259,255.026478155059
165066.222,165076.222,39.7796702024259,255.026478155059,39.7796754165595,255.026592632286
165076.222,165086.222,39.7796754165595,255.026592632286,39.7796808588762,255.026711422744
165086.222,165096.222,39.7796808588762,255.026711422744,39.7796861964134,255.0268278174
165096.222,165106.222,39.7796861964134,255.0268278174,39.7796917511835,255.026944788532
165106.222,165116.222,39.7796917511835,255.026944788532,39.7796974536874,255.027061444681
165116.222,165126.222,39.7796974536874,255.027061444681,39.7797030959734,255.027177900155
165126.222,165136.222,39.7797030959734,255.027177900155,39.7797086425899,255.027294057766
165136.222,165146.222,39.7797086425899,255.027294057766,39.7797140706824,255.027410685951
165146.222,165156.222,39.7797140706824,255.027410685951,39.7797193898128,255.027527675172
165156.222,165166.222,39.7797193898128,255.027527675172,39.779724416729,255.027644391126
165166.222,165176.222,39.779724416729,255.027644391126,39.7797293981764,255.027760636123
165176.222,165186.222,39.7797293981764,255.027760636123,39.7797344309896,255.027877185967
165186.222,165196.222,39.7797344309896,255.027877185967,39.7797393807396,255.027994101022
165196.222,165206.222,39.7797393807396,255.027994101022,39.7797442403323,255.0281105661
165206.222,165216.222,39.7797442403323,255.0281105661,39.7797488420877,255.028227151515
165216.222,165226.222,39.7797488420877,255.028227151515,39.7797532275684,255.028343776803
165226.222,165236.222,39.7797532275684,255.028343776803,39.7797576176193,255.028460711699
165236.222,165246.222,39.7797576176193,255.028460711699,39.7797621682849,255.02857708742
165246.222,165256.222,39.7797621682849,255.02857708742,39.7797667941801,255.028693163146
165256.222,165266.222,39.7797667941801,255.028693163146,39.779771624815,255.028810108248
165266.222,165276.222,39.779771624815,255.028810108248,39.7797767646715,255.028926649019
165276.222,165286.222,39.7797767646715,255.028926649019,39.779781897116,255.029043476803
165286.222,165296.222,39.779781897116,255.029043476803,39.779786771119,255.029159352628
165296.222,165306.222,39.779786771119,255.029159352628,39.7797914140527,255.029276897062
165306.222,165316.222,39.7797914140527,255.029276897062,39.7797957405771,255.02939288158
165316.222,165326.222,39.7797957405771,255.02939288158,39.7798003571208,255.029509797398
165326.222,165336.222,39.7798003571208,255.029509797398,39.7798052047697,255.02962619117
165336.222,165346.222,39.7798052047697,255.02962619117,39.7798101022367,255.029742466911
165346.222,165356.222,39.7798101022367,255.029742466911,39.779814973688,255.029859210635
165356.222,165366.222,39.779814973688,255.029859210635,39.7798197612072,255.029972975939
165366.222,165376.222,39.7798197612072,255.029972975939,39.7798250285734,255.030092144514
165376.222,165386.222,39.7798250285734,255.030092144514,39.7798300862199,255.03020917066
165386.222,165396.222,39.7798300862199,255.03020917066,39.7798350517086,255.03032542984
165396.222,165406.222,39.7798350517086,255.03032542984,39.7798402137768,255.030441557228
165406.222,165416.222,39.7798402137768,255.030441557228,39.7798456279166,255.030558331766
165416.222,165426.222,39.7798456279166,255.030558331766,39.779851098347,255.030674957301
165426.222,165436.222,39.779851098347,255.030674957301,39.779856526879,255.030791127496
165436.222,165446.222,39.779856526879,255.030791127496,39.7798618148212,255.030907692205
165446.222,165456.222,39.7798618148212,255.030907692205,39.7798669339497,255.031024003372
165456.222,165466.222,39.7798669339497,255.031024003372,39.7798721396021,255.031140953286
